Id,String
,
HELLO,やあ
BYE,じゃあな
YOU DIE,あなたは死ぬ
Item1Name,剣
Item2Name,盾
Item3Name,弓
Item4Name,ポーション
Item1Desc,これは剣だ。
Item2Desc,これは盾だ。
Item3Desc,これは弓だ。
Item4Desc,これはポーションだ。
Character1Name,ウォリアー
Character2Name,メイジ
Character3Name,アーチャー
Character4Name,ローグ
Character1Desc,私はウォリアー
Character2Desc,私はメイジ
Character3Desc,私はアーチャー
Character4Desc,私はローグ
Stat,アタック: {0}\nディフェンス: {1}
NAME,ネーム
DESC,セツメイ
TYPE,タイプ
VALUE,バリュー
COST,コスト
WEAPON,ブキ
EQUIP,ソウビ
CONSUMABLE,ショウモウヒン
Sort_TimeAsc,ニチヅケ（ショウジュン）
Sort_TimeDesc,ニチヅケ（コウジュン）
Sort_NameAsc,ナマエ（ショウジュン）
Sort_NameDesc,ナマエ（コウジュン）
Filter_None,ナシ
Filter_Weapon,ブキ
Filter_Equip,ソウビ
Filter_Consumable,ショウヒヒン
Sort_CostAsc,ネダン（ショウジュン）
Sort_CostDesc,ネダン（コウジュン）
Filter_NonConsumable,ヒショウヒヒン
Btn_Load,ヨミコミ
Btn_Save,ホゾン
Btn_CreateItem,アイテムセイセイ
Btn_RemoveItem,アイテムサクジョ
